eval/episode_length,eval/episode_length_no_fix_seed,eval/episode_length_std,eval/episode_length_std_no_fix_seed,eval/normalized_episode_reward,eval/normalized_episode_reward_no_fix_seed,eval/normalized_episode_reward_std,eval/normalized_episode_reward_std_no_fix_seed,loss,timestep
440.7,578.0,137.25381597609592,165.76670353240422,42.78733830571097,56.43754374273331,14.50406095750229,17.629636334041695,0.05766800103161937,84999
468.7,477.5,32.249186036239735,14.023195071024292,46.38197406485788,47.419307310665495,3.9532451480157333,1.9936722168607015,0.057345915654390046,85976
228.7,228.9,37.97380676203006,37.64425586991992,19.7394276145477,19.76904826867898,4.3898064444531375,4.357095086118135,0.05754186463529885,86953
497.2,551.7,169.49088471065338,128.23030063132506,48.273921652779364,53.610400886596246,17.59206521494089,13.377488439726568,0.05734074141681493,87930
397.0,392.6,72.49551710278368,75.01359876715688,37.868569694219666,38.139792504859635,7.93168842873573,8.64675268626839,0.05718070961451091,88907
427.8,441.9,18.497567407634985,33.40493975447344,43.13064730207208,44.553305936428906,2.6627128706155885,4.118105531555328,0.057206328481649305,89884
332.3,349.8,132.22862776267476,102.87545868670524,30.329946007810456,32.06724233099027,14.53247355335935,11.291516699813142,0.05738013820720783,90861
413.0,420.5,7.861297602813418,8.429116205154607,40.37388640086777,41.348759385043934,1.5758392429069865,1.6523494878349037,0.05711846840219945,91838
469.5,604.2,131.39882039044338,117.380407223693,45.2181289627384,58.620135763428074,13.670963473511385,13.061428957374174,0.05701515402267391,92815
691.0,680.5,91.33017026152969,67.27889713721532,67.97889474532474,67.1420506203558,10.263317229954522,7.7651348342429145,0.05711971764417474,93792
786.5,805.1,52.4657030830618,57.55771016988081,72.597812909434,74.82484631169561,6.045763046204888,6.592910320365684,0.05706655254688567,94769
422.2,414.5,13.658696863171098,7.130918594402828,42.09333170747335,41.14603648676308,2.2410814744889067,1.4782932902477803,0.0571095111685497,95746
614.0,565.5,123.63656417096037,119.16312349044901,57.16379720222826,52.87381268888524,12.605959561963601,12.788208945548323,0.05681240820957915,96723
460.7,421.5,166.62415791235077,130.7641005781021,43.51411366916667,39.4299072838456,19.11605442675161,15.183081098080297,0.05702634680798866,97700
582.0,578.9,65.75408732542792,69.63109937377119,57.30657726346408,57.55353079573992,8.487800512315845,8.592959462652024,0.056752292231533635,98677
272.5,297.2,38.59339321697433,37.023776144526366,21.39044907050335,23.653043425690772,4.08682086276425,4.083240712112519,0.05684134941414662,99654
244.7,241.2,19.442479265772665,27.154373496731605,21.867274371953673,21.557066229611465,3.0897838966443456,4.060198405121314,0.056775935539478135,100631
754.6,757.8,162.63714212934264,137.02320971280744,73.82015217637648,74.83706198220924,18.654479493009358,16.306946377671068,0.05677592678104236,101608
254.7,251.9,30.179628891025153,22.119900542271886,18.777341263584784,18.65391121278096,3.2890110260518286,2.8952067980948617,0.056741884369079,102585
416.3,422.1,7.642643521714199,23.721087664776253,40.70362648707814,41.300467553275595,1.5815027911108743,3.2525132665503125,0.05668014511008466,103562
498.9,523.6,49.53473528747277,36.95456670020635,50.5794295880604,53.90235119686345,5.856035957030704,4.263253869680875,0.0569943467320964,104539
621.7,633.7,64.02507321354658,95.78105240599521,62.473915169633855,63.769921816827456,7.761739254269622,10.668670766269035,0.05668212274354458,105516
543.6,543.3,75.18271077847619,45.76253926521124,53.866538087120276,54.10119150075401,8.629380728819553,5.587026076488864,0.056568751147849976,106493
763.9,798.4,129.29535954549954,127.63165751489714,74.89336058524857,78.65395138962009,14.585313478837813,14.556691163712685,0.056468157984217233,107470
338.1,380.9,19.967223141939392,23.62392854713204,33.75574444608644,38.92541587946069,2.9739908085679128,2.8860446380047935,0.05656393796983362,108447
381.5,410.9,83.13753664861619,96.94477809557355,35.89079498738953,39.2916330207339,9.005764710709418,10.733074126712564,0.05659119481318075,109424
369.1,368.1,46.100867670793356,52.443207377123684,36.793958609405166,36.65585216276821,6.18907884661034,6.901593387638543,0.05648924033619849,110401
641.0,647.3,62.36024374551466,66.68740510771131,61.61656950564398,62.73636478161988,7.533101609566333,7.779355059410924,0.05655070888440951,111378
508.7,633.3,210.19612270448758,155.95451259902677,47.89266790557454,60.124712899376576,21.025321494788443,16.801701020742783,0.0564334162204939,112355
344.5,359.8,33.185087012090236,29.721372781215877,33.555747953420045,35.38289513896258,4.45752044399199,4.1496301370411,0.056252002205123906,113332
468.2,460.6,37.327737675889225,46.37499326145503,46.90850654107846,46.30939681660931,4.482779425805883,5.470853264484471,0.05642107257976018,114309
299.5,301.2,80.15266683024339,49.254035367673175,28.357553699315304,28.24941546146713,9.047338288624424,6.052489616206481,0.05623129713696986,115286
575.0,554.8,69.066634491627,76.12069363845812,55.583513522293806,53.55513974503867,8.216747539834564,9.500251696879316,0.05633418726426928,116263
747.1,804.6,55.15695785664761,126.5845172207091,69.57101281290025,75.46677336410664,6.667468586102196,13.863504343160058,0.05620379413086291,117240
286.7,264.8,68.78524551093788,1.1661903789690602,25.113192881880536,22.49323268389501,8.497467714687456,0.7682505408551228,0.0563372693109414,118217
370.8,342.1,101.14227602738629,34.06596542004938,34.1329272901772,30.9139827163158,11.968461157127198,4.246514951780391,0.05609667796103955,119194
706.3,831.1,108.47124042805079,123.60699818375981,69.64295320573103,83.06920608180317,12.852224036651364,13.431844946788289,0.05615738373223085,120171
217.9,253.0,18.742731924668828,56.815490845367165,18.68030840622289,22.407813855456947,2.8969748835648117,6.759562405634497,0.05616758225396071,121148
270.4,294.8,37.95312898826656,28.063499425410225,24.562408676862642,27.372162430572793,4.8695523788373345,3.7191785924757603,0.05592726771181171,122125
455.7,475.9,49.642824254870916,42.627338645521846,45.40371726858686,47.882373850942564,5.661857216519956,5.220423303817203,0.056104937806618765,123102
463.7,566.4,156.43787904468664,227.80526771784713,41.95075700409343,52.96664224944691,16.31142850603237,23.78889939159633,0.056137809974113675,124079
297.5,269.5,47.11740655002141,26.556543449779003,27.36371530704087,24.55347986613749,5.540014835703709,3.52946866213684,0.055855926637182224,125056
446.4,454.9,25.811625287842684,52.16790200880231,43.38646398352919,44.48968903322529,3.2805142928400963,6.160653839313948,0.05593683989289595,126033
537.1,558.9,29.05666876983664,57.23888538397651,53.89903228028877,56.26960150501662,3.7846732853775844,6.532321505405757,0.05618914975541642,127010
543.2,575.1,48.410329476259506,65.88087734692063,53.52380363004613,57.567260698356584,6.257892178910981,7.289453457166896,0.055836416731379776,127987
319.2,329.1,9.303762679690404,21.215324649884572,31.64495776682017,32.879283692689725,1.8184711772654027,3.0197545838165656,0.055907163658430035,128964
50.6,49.6,1.2,0.4898979485566356,3.2386507707218,3.1569828955536345,0.7148385482021123,0.6653158723666817,0.05579677059056814,129941
729.5,730.5,122.55386570810404,72.52482333656526,72.22184981486302,72.25513195080077,13.526741903082812,8.230367220861279,0.055930387697725,130918
437.3,431.6,19.016045856065872,18.906083676954356,44.539418793980964,44.10119058259115,3.143754535843393,2.965677626409834,0.0558041245767137,131895
451.3,438.0,43.18344590233623,47.167785616880515,43.63829959167937,42.366923329526394,5.250403272402318,5.729696060089249,0.05582690706043791,132872
